team,played,wins,draws,losses,win_rate,points_per_game
Venezuela,365,100,88,177,0.273972602739726,1.063013698630137
Liberia,199,54,42,103,0.271356783919598,1.0251256281407035
Bangladesh,229,62,55,112,0.27074235807860264,1.0524017467248907
Nicaragua,175,47,25,103,0.26857142857142857,0.9485714285714286
Benin,240,64,63,113,0.26666666666666666,1.0625
Guinea-Bissau,139,37,30,72,0.26618705035971224,1.014388489208633
Kazakhstan,266,70,59,137,0.2631578947368421,1.0112781954887218
Dominica,149,39,29,81,0.26174496644295303,0.9798657718120806
Belize,120,31,20,69,0.25833333333333336,0.9416666666666667
Mongolia,97,25,9,63,0.25773195876288657,0.865979381443299
Montserrat,66,17,7,42,0.25757575757575757,0.8787878787878788
Namibia,278,70,80,128,0.2517985611510791,1.0431654676258992
Lithuania,343,86,69,188,0.25072886297376096,0.9533527696793003
Latvia,351,88,84,179,0.25071225071225073,0.9914529914529915
Cyprus,309,76,58,175,0.2459546925566343,0.9255663430420712
Nepal,212,52,40,120,0.24528301886792453,0.9245283018867925
Niger,197,48,46,103,0.2436548223350254,0.9644670050761421
Estonia,428,104,94,230,0.24299065420560748,0.9485981308411215
Central African Republic,103,25,22,56,0.24271844660194175,0.941747572815534
Armenia,269,65,55,149,0.241635687732342,0.929368029739777
Comoros,144,34,34,76,0.2361111111111111,0.9444444444444444
Gibraltar,157,37,20,100,0.2356687898089172,0.8343949044585988
Aruba,94,22,14,58,0.23404255319148937,0.851063829787234
Turks and Caicos Islands,52,12,6,34,0.23076923076923078,0.8076923076923077
Mauritania,196,45,55,96,0.22959183673469388,0.9693877551020408
Tonga,61,14,5,42,0.22950819672131148,0.7704918032786885
Sri Lanka,205,46,43,116,0.22439024390243903,0.8829268292682927
Yemen,232,52,50,130,0.22413793103448276,0.8879310344827587
Bolivia,354,78,87,189,0.22033898305084745,0.9067796610169492
Cook Islands,50,11,4,35,0.22,0.74
Taiwan,142,31,13,98,0.21830985915492956,0.7464788732394366
Cayman Islands,116,25,21,70,0.21551724137931033,0.8275862068965517
Bahamas,66,14,10,42,0.21212121212121213,0.7878787878787878
Mauritius,218,46,46,126,0.21100917431192662,0.8440366972477065
Laos,185,39,30,116,0.21081081081081082,0.7945945945945946
Eswatini,253,52,77,124,0.20553359683794467,0.9209486166007905
Guam,114,23,11,80,0.20175438596491227,0.7017543859649122
Cambodia,204,41,24,139,0.20098039215686275,0.7205882352941176
Azerbaijan,307,60,79,168,0.19543973941368079,0.8436482084690554
Moldova,296,57,68,171,0.19256756756756757,0.8074324324324325
Lesotho,263,50,86,127,0.19011406844106463,0.8973384030418251
Brunei,103,19,9,75,0.18446601941747573,0.6407766990291263
Chad,109,20,25,64,0.1834862385321101,0.7798165137614679
Faroe Islands,261,47,34,180,0.18007662835249041,0.6704980842911877
Pakistan,153,26,23,104,0.16993464052287582,0.6601307189542484
British Virgin Islands,117,19,21,77,0.1623931623931624,0.6666666666666666
Eritrea,71,11,16,44,0.15492957746478872,0.6901408450704225
South Sudan,78,12,16,50,0.15384615384615385,0.6666666666666666
Malta,336,49,55,232,0.14583333333333334,0.6011904761904762
Macau,118,17,15,86,0.1440677966101695,0.559322033898305
Seychelles,153,22,26,105,0.1437908496732026,0.6013071895424836
São Tomé and Príncipe,63,9,7,47,0.14285714285714285,0.5396825396825397
United States Virgin Islands,78,10,12,56,0.1282051282051282,0.5384615384615384
Luxembourg,289,37,48,204,0.12802768166089964,0.5501730103806228
Bhutan,100,11,7,82,0.11,0.4
Timor-Leste,86,9,5,72,0.10465116279069768,0.37209302325581395
Somalia,86,7,6,73,0.08139534883720931,0.313953488372093
Anguilla,90,7,9,74,0.07777777777777778,0.3333333333333333
Liechtenstein,251,17,31,203,0.06772908366533864,0.32669322709163345
Djibouti,95,6,9,80,0.06315789473684211,0.28421052631578947
Andorra,226,13,31,182,0.05752212389380531,0.30973451327433627
Alderney,57,3,2,52,0.05263157894736842,0.19298245614035087
San Marino,223,3,11,209,0.013452914798206279,0.08968609865470852
